# ResFinder phenotype results.
# Sample: contigs.fsa
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
ceftiofur	under_development	No resistance	0	
teicoplanin	glycopeptide	No resistance	0	
vancomycin	glycopeptide	No resistance	0	
hydrogen peroxide	peroxide	No resistance	0	
erythromycin	macrolide	No resistance	0	
azithromycin	macrolide	No resistance	0	
oleandomycin	macrolide	No resistance	0	
tylosin	macrolide	No resistance	0	
carbomycin	macrolide	No resistance	0	
telithromycin	macrolide	No resistance	0	
spiramycin	macrolide	No resistance	0	
metronidazole	nitroimidazole	No resistance	0	
tiamulin	pleuromutilin	No resistance	0	
fosfomycin	fosfomycin	No resistance	0	
mupirocin	pseudomonic acid	No resistance	0	
spectinomycin	aminocyclitol	No resistance	0	
colistin	polymyxin	No resistance	0	
benzylkonium chloride	quaternary ammonium compound	Resistant	1	qacE (qacE_X68232)
ethidium bromide	quaternary ammonium compound	Resistant	1	qacE (qacE_X68232)
cetylpyridinium chloride	quaternary ammonium compound	Resistant	1	qacE (qacE_X68232)
chlorhexidine	quaternary ammonium compound	Resistant	1	qacE (qacE_X68232)
temperature	heat	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
neomycin	aminoglycoside	No resistance	0	
paromomycin	aminoglycoside	No resistance	0	
amikacin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	No resistance	0	
dibekacin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
bleomycin	aminoglycoside	No resistance	0	
isepamicin	aminoglycoside	No resistance	0	
apramycin	aminoglycoside	No resistance	0	
arbekacin	aminoglycoside	No resistance	0	
tobramycin	aminoglycoside	No resistance	0	
ribostamycin	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
streptomycin	aminoglycoside	Resistant	3	aph(6)-Id (aph(6)-Id_M28829), aph(3'')-Ib (aph(3'')-Ib_AF321551)
kasugamycin	aminoglycoside	No resistance	0	
unknown aminoglycoside	aminoglycoside	No resistance	0	
gentamicin	aminoglycoside	No resistance	0	
kanamycin	aminoglycoside	No resistance	0	
lividomycin	aminoglycoside	No resistance	0	
rifampicin	rifamycin	No resistance	0	
quinupristin+dalfopristin	streptogramin a	No resistance	0	
dalfopristin	streptogramin a	No resistance	0	
virginiamycin m	streptogramin a	No resistance	0	
pristinamycin iia	streptogramin a	No resistance	0	
lincomycin	lincosamide	No resistance	0	
clindamycin	lincosamide	No resistance	0	
quinupristin	streptogramin b	No resistance	0	
pristinamycin ia	streptogramin b	No resistance	0	
virginiamycin s	streptogramin b	No resistance	0	
minocycline	tetracycline	No resistance	0	
tetracycline	tetracycline	Resistant	3	tet(A) (tet(A)_AJ517790)
tigecycline	tetracycline	No resistance	0	
doxycycline	tetracycline	Resistant	3	tet(A) (tet(A)_AJ517790)
chloramphenicol	amphenicol	No resistance	0	
florfenicol	amphenicol	No resistance	0	
fusidic acid	steroid antibacterial	No resistance	0	
