target_id	length	eff_length	est_counts	tpm
rna-NM_001180043.1	363	164	2.25	6.04381
rna-NM_001184582.1	228	32.1317	0	0
rna-NM_001178208.1	1782	1583	4	1.11314
rna-NM_001179897.1	387	188	1	2.34323
rna-NM_001180042.1	381	182	0.785044	1.90018
rna-NM_001180041.1	381	182	1	2.42048
rna-NM_001178206.2	285	86.0009	1	5.12235
rna-NM_001184642.1	291	92.0002	0	0
rna-NM_001178205.1	3969	3770	4.45266	0.520296
rna-NM_001178204.1	1374	1175	113	42.3655
rna-NM_001178203.1	1254	1055	29	12.1093
rna-NM_001178202.2	1149	950	69	31.9961
rna-NM_001178201.2	639	440	432	432.517
rna-NM_001178200.1	1509	1310	40	13.4512
rna-NM_001178199.2	2643	2444	25	4.5062
rna-NM_001178198.1	543	344	7	8.9642
rna-NM_001178197.1	2142	1943	144	32.6484
rna-NM_001178196.2	2352	2153	347	70.9999
rna-NM_001178195.2	3144	2945	55	8.22715
rna-NM_001178194.1	741	542	50	40.639
rna-NM_001178193.1	1989	1790	25	6.15261
rna-NM_001178192.2	1869	1670	19	5.01198
rna-NM_001178191.1	357	158	14	39.034
rna-NM_001184453.1	333	134	16	52.6002
rna-NM_001178189.1	513	314	114	159.936
rna-NM_001178188.1	2358	2159	111	22.6487
rna-NM_001178187.1	1248	1049	117	49.134
rna-NM_001178186.1	2565	2366	110	20.4809
rna-NM_001178185.1	1743	1544	231	65.9078
rna-NM_001178184.1	810	611	113	81.4722
rna-NM_001178183.1	1503	1304	3710	1253.34
rna-NM_001184629.1	93	4.05064	0	0
rna-NM_001178182.1	804	605	14	10.194
rna-NM_001178181.1	1110	911	382	184.721
rna-NM_001178180.1	3009	2810	861	134.98
rna-NM_001178179.1	870	671	12	7.87827
rna-NM_001180035.1	1242	1043	86	36.3234
rna-NM_001178178.1	522	323	26	35.4603
rna-NM_001178177.1	1140	941	76	35.5792
rna-NM_001178176.1	2283	2084	48	10.1465
rna-NM_001178175.1	354	155	23	65.3685
rna-NM_001178174.1	4416	4217	157	16.4009
rna-NM_001178173.1	1587	1388	6	1.90429
rna-NM_001178172.1	786	587	15	11.2571
rna-NM_001178171.2	4068	3869	58.503	6.66119
rna-NR_132149.1	564	365	5.49698	6.63443
rna-NM_001178170.2	921	722	719	438.696
